"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset_name","diameter","n_faces","n_steps","n_X","n_vertices","noise_factor","subdivisions","diff_dist","diff_dist_per_vertex","diff_duration","diff_duration_per_vertex","diff_seq_duration","diff_seq_duration_per_time_and_vertex","diff_seq_per_time_and_vertex","diff_seq_per_time_vertex_diameter","geodesic_dist","geodesic_dist_per_vertex","geodesic_duration","geodesic_regression_duration","geodesic_regression_duration_per_vertex","line_duration","linear_dist","linear_dist_per_vertex","linear_regression_duration","linear_regression_duration_per_vertex","relative_diff_dist","relative_diff_duration","relative_diff_seq_duration","relative_diff_seq_per_time_and_vertex","run_name","post_error","rmsd","rmsd_diameter"
"run_tp8vc37g","finished","-","adelemyers","","2023-08-10T23:17:44.000Z","554","","synthetic_mesh","5400","320","8","5","162","0.1","2","-595612578.2793863","-3676620.8535764585","-255.6023199558258","-1.5777920984927518","-285.6309406757355","-0.3526307909576981","1.1187608593936589","0.00020717793692475163","595621448.8254404","3676675.610033583","285.6312837600708","255.60247015953064","1.577793025676115","0.00034308433532714844","8870.546054066332","54.75645712386625","0.00015020370483398438","9.27183363172743e-7","-67144.9733363768","-1701704.4968253968","-832538.5663655316","-1027.8253905747304","run_tp8vc37g","true","31.840492254582102","0.005896387454552241"
"run_rlkmatte","finished","-","adelemyers","","2023-08-10T23:15:51.000Z","112","","synthetic_mesh","180","80","8","5","42","0.1","1","-36476.32409018111","-868.483906909074","-30.91854691505432","-0.7361558789298648","-66.7525110244751","-0.31786910011654806","0.06672058066687125","0.0003706698925937292","36635.375478817565","872.2708447337516","66.75274276733398","30.91863775253296","0.7361580417269752","0.00023174285888671875","159.05138863645698","3.786937824677547","0.00009083747863769533","0.000002162797110421317","-229.3367219418302","-340372.13910761155","-288045.60082304524","-1371.6457182049774","run_rlkmatte","true","0.9668730711681548","0.005371517062045304"
"run_m2rynun5","finished","-","adelemyers","","2023-08-10T22:54:08.000Z","1301","","synthetic_mesh","162000","1280","5","5","642","0.1","3","-749700823365.4141","-1167758291.8464394","-1030.6128015518188","-1.6053158902676306","-250.65243339538577","-0.07808487021663107","23.568046067630025","0.00014548176584956805","749701326692.1931","1167759075.8445375","250.652734041214","1030.6131010055542","1.6053163567064708","0.0003006458282470703","503326.7790203389","783.9980981625216","0.0002994537353515625","4.664388401114681e-7","-1489491.2303784247","-3441642.831210191","-833713.3259318002","-259.7237775488474","run_m2rynun5","true","1335.2915312325763","0.008242540316250472"
"run_o9u2tcif","finished","-","adelemyers","","2023-08-10T22:49:56.000Z","250","","synthetic_mesh","5400","320","5","5","162","0.1","2","-57266213.609295465","-353495.1457363918","-79.75047016143799","-0.49228685284838264","-157.22146654129028","-0.1941005759769016","1.6956100935138536","0.00031400186916923214","57275417.60721749","353551.96053837956","157.22173643112183","79.75061798095703","0.4922877653145496","0.00026988983154296875","9203.997922028737","56.81480198783171","0.00014781951904296875","9.12466166931906e-7","-6221.884673858433","-539512.4451612904","-582539.4222614841","-719.1844719277582","run_o9u2tcif","true","48.25790927167388","0.008936649865124793"
"run_ax6h3rk4","finished","-","adelemyers","","2023-08-10T22:48:08.000Z","107","","synthetic_mesh","180","80","5","5","42","0.1","1","-43790.65246381594","-1042.634582471808","-62.14492917060852","-1.4796411707287742","-32.36677956581116","-0.1541275217419579","0.048076606445124695","0.0002670922580284705","43971.951542511706","1046.9512272026598","32.36708927154541","62.14514517784119","1.4796463137581235","0.0003097057342529297","181.2990786957701","4.316644730851669","0.0002160072326660156","0.000005143029349190849","-241.5381963264087","-287698.3719646799","-104508.1701308699","-497.6579530041424","run_ax6h3rk4","true","0.6966962166745814","0.0038705345370810074"
"run_l09q79kz","finished","-","adelemyers","","2023-08-10T22:34:53.000Z","793","","synthetic_mesh","162000","1280","3","5","642","0.1","3","-759124101909.4392","-1182436295.8090954","-670.9245307445526","-1.0450537862064682","-103.21478533744812","-0.03215413873440751","15.186442506715183","0.00009374347226367395","759124668276.0154","1182437178.0000238","103.2150764465332","670.9247465133667","1.0450541222949636","0.0002911090850830078","566366.5761738743","882.190928619742","0.0002157688140869141","3.36088495462483e-7","-1340340.5741873942","-3109460.1580110495","-354557.0737100737","-110.45391704363668","run_l09q79kz","true","860.4161758075844","0.005311210961775213"
"run_02nqat8m","finished","-","adelemyers","","2023-08-10T22:33:05.000Z","107","","synthetic_mesh","5400","320","3","5","162","0.1","2","-54285670.75686806","-335096.7330670868","-40.215861558914185","-0.24824605900564312","-51.43357849121094","-0.0634982450508777","1.3738593600459612","0.00025441840000851136","54295020.20214833","335154.4456922737","51.43382740020752","40.21600151062012","0.24824692290506245","0.00024890899658203125","9349.44528027639","57.712625186891295","0.0001399517059326172","8.638994193371432e-7","-5806.298569540722","-287355.2793867121","-206636.0766283525","-255.10626744241048","run_02nqat8m","true","39.10072286237912","0.007240874604144282"
"run_fn7jtuj2","finished","-","adelemyers","","2023-08-10T22:31:51.000Z","72","","synthetic_mesh","180","80","3","5","42","0.1","1","-45000.74343540294","-1071.4462722714986","-49.784860372543335","-1.185353818393889","-9.236900091171265","-0.043985238529386975","0.13026550808539655","0.0007236972671410919","45175.423054072235","1075.6053108112435","9.237192153930664","49.7849555015564","1.1853560833703904","0.00029206275939941406","174.679618669299","4.1590385397452145","0.00009512901306152344","0.000002264976501464844","-257.6187409739983","-523340.4486215539","-31626.422040816327","-150.60200971817298","run_fn7jtuj2","true","1.887726554699268","0.010487369748329266"
"run_bifsqa37","finished","-","adelemyers","","2023-08-10T21:49:31.000Z","2539","","synthetic_mesh","162000","1280","20","5","642","0.01","3","-740359640235.4673","-1153208162.3605409","-377.5230007171631","-0.5880420571918428","-2140.626166820526","-0.6668617342120019","0.48715647154267266","0.0000030071387132263743","740359707968.1826","1153208267.8632128","2140.6264412403107","377.5231504440307","0.5880422904112629","0.00027441978454589844","67732.715371301","105.50267191791434","0.00014972686767578125","2.3321942005573406e-7","-10930606.224435596","-2521411.1974522294","-7800553.339704605","-2430.078922026357","run_bifsqa37","true","27.600756930355388","0.00017037504277997152"
"run_jf7ltyga","finished","-","adelemyers","","2023-08-10T21:35:31.000Z","839","","synthetic_mesh","5400","320","20","5","162","0.01","2","-47526925.09546828","-293376.08083622396","-72.55104732513428","-0.44784597114280417","-752.988929271698","-0.9296159620638248","0.018690828589476752","0.0000034612645536068058","47528044.68525368","293382.991884282","752.9892456531525","72.55125713348389","0.44784726625607335","0.00031638145446777344","1119.5897853944475","6.911048057990417","0.000209808349609375","0.0000012951132691936729","-42450.30252640601","-345796.7590909091","-2380003.374529013","-2938.2757710234728","run_jf7ltyga","true","0.5319503072868491","0.00009850931616423133"
